user_id,char,key_code,hold_time,latency_time,flight_time,key_down_time,key_up_time,event_index,session_id,wpm
harshith,t,116,0.06416,0,0,332317.3701,332317.4343,0,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,h,104,0.07467,0.22809,0.16393,332317.5982,332317.6729,1,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,e,101,0.05,0.16929,0.09462,332317.7675,332317.8175,2,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,q,113,0.07974,0.42796,0.37796,332318.1955,332318.2752,3,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,u,117,0.06903,0.20946,0.12972,332318.4049,332318.474,4,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,i,105,0.0695,0.20379,0.13475,332318.6087,332318.6782,5,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,c,99,0.06955,0.26365,0.19415,332318.8724,332318.9419,6,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,k,107,0.07485,0.15438,0.08483,332319.0268,332319.1016,7,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,b,98,0.05491,0.45747,0.38262,332319.4842,332319.5391,8,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,r,114,0.05477,0.25857,0.20366,332319.7428,332319.7976,9,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,o,111,0.06958,0.1845,0.12973,332319.9273,332319.9969,10,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,w,119,0.06524,0.22338,0.1538,332320.1507,332320.2159,11,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,n,110,0.05961,0.1946,0.12936,332320.3453,332320.4049,12,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,f,102,0.04969,0.41718,0.35756,332320.7624,332320.8121,13,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,o,111,0.07534,0.21458,0.16489,332320.977,332321.0524,14,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,x,120,0.06493,0.2831,0.20776,332321.2601,332321.3251,15,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,j,106,0.06998,0.40838,0.34344,332321.6685,332321.7385,16,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,u,117,0.06477,0.20892,0.13894,332321.8774,332321.9422,17,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,m,109,0.07908,0.24443,0.17965,332322.1219,332322.2009,18,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,p,112,0.06439,0.24298,0.1639,332322.3648,332322.4292,19,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,s,115,0.05484,0.2289,0.16451,332322.5937,332322.6486,20,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,o,111,0.05653,0.38297,0.32813,332322.9767,332323.0332,21,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,v,118,0.05833,0.2557,0.19918,332323.2324,332323.2907,22,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
harshith,e,101,0.04999,0.22187,0.16354,332323.4543,332323.5043,23,c2709755-ec52-4e90-8fe2-a1973c4cb0b0,55.26
